Method,Name,Error,Occurrences
POST,/setCurrency,"BadStatusCode('http://34.60.133.108/setCurrency', code=503)",353
GET,/product/LS4PSXUNUM,HTTPParseError('Incomplete response.'),2
GET,/product/9SIQT8TOJO,"BadStatusCode('http://34.60.133.108/product/9SIQT8TOJO', code=500)",118
GET,/product/OLJCESPC7Z,"BadStatusCode('http://34.60.133.108/product/OLJCESPC7Z', code=503)",293
POST,/cart/checkout,"BadStatusCode('http://34.60.133.108/cart/checkout', code=500)",84
GET,/cart,"BadStatusCode('http://34.60.133.108/cart', code=500)",259
POST,/setCurrency,"BadStatusCode('http://34.60.133.108/', code=503)",73
GET,/,"BadStatusCode('http://34.60.133.108/', code=503)",195
GET,/product/9SIQT8TOJO,"BadStatusCode('http://34.60.133.108/product/9SIQT8TOJO', code=503)",297
POST,/setCurrency,"BadStatusCode('http://34.60.133.108/', code=500)",172
GET,/product/LS4PSXUNUM,"BadStatusCode('http://34.60.133.108/product/LS4PSXUNUM', code=503)",276
GET,/,"BadStatusCode('http://34.60.133.108/', code=500)",401
GET,/product/L9ECAV7KIM,"BadStatusCode('http://34.60.133.108/product/L9ECAV7KIM', code=500)",115
GET,/product/66VCHSJNUP,"BadStatusCode('http://34.60.133.108/product/66VCHSJNUP', code=503)",277
POST,/cart,HTTPParseError('Incomplete response.'),17
GET,/product/2ZYFJ3GM2N,"BadStatusCode('http://34.60.133.108/product/2ZYFJ3GM2N', code=500)",114
GET,/product/OLJCESPC7Z,HTTPParseError('Incomplete response.'),3
GET,/product/1YMWWN1N4O,"BadStatusCode('http://34.60.133.108/product/1YMWWN1N4O', code=500)",110
GET,/cart,HTTPParseError('Incomplete response.'),8
POST,/cart,"BadStatusCode('http://34.60.133.108/cart', code=503)",676
GET,/product/0PUK6V6EV0,"BadStatusCode('http://34.60.133.108/product/0PUK6V6EV0', code=503)",273
POST,/cart,"BadStatusCode('http://34.60.133.108/cart', code=500)",238
GET,/product/2ZYFJ3GM2N,HTTPParseError('Incomplete response.'),2
GET,/product/L9ECAV7KIM,"BadStatusCode('http://34.60.133.108/product/L9ECAV7KIM', code=503)",262
GET,/product/9SIQT8TOJO,HTTPParseError('Incomplete response.'),1
GET,/product/6E92ZMYYFZ,"BadStatusCode('http://34.60.133.108/product/6E92ZMYYFZ', code=503)",265
GET,/,HTTPParseError('Incomplete response.'),2
POST,/cart/checkout,HTTPParseError('Incomplete response.'),4
GET,/cart,"BadStatusCode('http://34.60.133.108/cart', code=503)",564
GET,/product/2ZYFJ3GM2N,"BadStatusCode('http://34.60.133.108/product/2ZYFJ3GM2N', code=503)",270
GET,/product/6E92ZMYYFZ,HTTPParseError('Incomplete response.'),1
GET,/product/1YMWWN1N4O,"BadStatusCode('http://34.60.133.108/product/1YMWWN1N4O', code=503)",268
GET,/product/1YMWWN1N4O,HTTPParseError('Incomplete response.'),4
GET,/product/LS4PSXUNUM,"BadStatusCode('http://34.60.133.108/product/LS4PSXUNUM', code=500)",110
GET,/product/0PUK6V6EV0,HTTPParseError('Incomplete response.'),1
GET,/product/0PUK6V6EV0,"BadStatusCode('http://34.60.133.108/product/0PUK6V6EV0', code=500)",131
GET,/product/66VCHSJNUP,"BadStatusCode('http://34.60.133.108/product/66VCHSJNUP', code=500)",121
POST,/setCurrency,HTTPParseError('Incomplete response.'),2
GET,/product/OLJCESPC7Z,"BadStatusCode('http://34.60.133.108/product/OLJCESPC7Z', code=500)",97
GET,/product/6E92ZMYYFZ,"BadStatusCode('http://34.60.133.108/product/6E92ZMYYFZ', code=500)",108
POST,/cart/checkout,"BadStatusCode('http://34.60.133.108/cart/checkout', code=503)",250
GET,/product/66VCHSJNUP,HTTPParseError('Incomplete response.'),1
