Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,28,0,57,70.76726560714113,51.99834800032477,379.8637720001352,10724.892857142857,0.15704583669657993,0.0,57,59,62,64,74,98,380,380,380,380,380
GET,/cart,38,0,53,54.20007871053282,38.076119999914226,84.47415000000547,14325.78947368421,0.21313363551678707,0.0,54,59,63,63,68,82,84,84,84,84,84
POST,/cart,58,0,71,76.48702767243054,55.39841600011641,129.07129599989275,18448.068965517243,0.3253092331572013,0.0,74,79,83,86,98,100,110,130,130,130,130
POST,/cart/checkout,13,1,88,89.80253784613105,48.352779999731865,138.66167300011512,6784.153846153846,0.07291413846626926,0.005608779882020712,88,90,95,96,120,140,140,140,140,140,140
GET,/product/0PUK6V6EV0,15,0,49,53.55918486666269,39.008367999940674,109.61008799995398,8119.666666666667,0.08413169823031068,0.0,49,54,56,57,58,110,110,110,110,110,110
GET,/product/1YMWWN1N4O,28,0,47,48.83386303574103,41.07888599992293,89.95223200008695,8130.714285714285,0.15704583669657993,0.0,47,49,52,52,55,60,90,90,90,90,90
GET,/product/2ZYFJ3GM2N,29,0,45,48.45389644825791,40.916130999903544,89.54068799994275,8132.172413793103,0.16265461657860064,0.0,45,47,50,53,61,63,90,90,90,90,90
GET,/product/66VCHSJNUP,22,0,48,48.454206954561,41.192309000052774,58.870659999683994,8099.090909090909,0.12339315740445567,0.0,49,51,51,53,56,58,59,59,59,59,59
GET,/product/6E92ZMYYFZ,27,0,47,49.06712855555034,39.45171199984543,61.63556499996048,8089.259259259259,0.15143705681455924,0.0,47,51,54,55,59,60,62,62,62,62,62
GET,/product/9SIQT8TOJO,25,0,47,49.71361043997604,41.09323500006212,107.53558699980204,8130.92,0.1402194970505178,0.0,47,50,51,52,53,58,110,110,110,110,110
GET,/product/L9ECAV7KIM,24,0,45,51.14267470834951,40.31150399987382,111.11398499997449,8109.458333333333,0.1346107171684971,0.0,46,47,51,52,74,87,110,110,110,110,110
GET,/product/LS4PSXUNUM,30,0,48,51.56844453332875,41.19235600001048,101.85987200020463,8090.166666666667,0.16826339646062136,0.0,48,51,52,53,63,90,100,100,100,100,100
GET,/product/OLJCESPC7Z,28,0,47,47.99781339285606,36.96769799989852,66.05330399997911,8145.928571428572,0.15704583669657993,0.0,47,49,50,52,55,57,66,66,66,66,66
POST,/setCurrency,32,0,63,64.8614063750017,52.5015070002155,137.72102800021457,10755.15625,0.17948095622466279,0.0,63,65,66,66,67,80,140,140,140,140,140
,Aggregated,397,1,53,58.05615252645068,36.96769799989852,379.8637720001352,10573.282115869019,2.2266856131622226,0.005608779882020712,53,59,64,66,82,90,110,130,380,380,380
