Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,275,0,140.0,314.1043886436338,46.4938439999969,1066.4972900003704,10712.498181818182,1.5383315624541767,0.0,140,410,580,600,820,900,910,910,1100,1100,1100
GET,/cart,478,0,70,91.67929620083113,35.45390399995085,504.10984099971756,12731.989539748954,2.6738999521930777,0.0,71,98,120,130,170,190,230,300,500,500,500
POST,/cart,506,0,120.0,135.80784412450527,55.63890200028254,533.8667470000473,17808.233201581028,2.830530074915685,0.0,120,140,170,190,220,270,310,380,530,530,530
POST,/cart/checkout,156,1,100,116.15464109614165,46.2223009999434,378.7980960000823,6889.358974358975,0.8726535408830965,0.0055939329543788245,100,120,130,150,180,200,230,360,380,380,380
GET,/product/0PUK6V6EV0,261,0,69,87.97237043678822,37.04070200001297,618.0992270001298,8103.969348659004,1.4600165010928732,0.0,69,88,110,120,160,190,250,300,620,620,620
GET,/product/1YMWWN1N4O,235,0,70,97.00228838294007,37.092251000103715,697.5368890002756,8118.221276595745,1.3145742442790236,0.0,70,97,110,130,160,230,430,610,700,700,700
GET,/product/2ZYFJ3GM2N,247,0,68,91.08615256679775,38.417449000007764,426.5928449999592,8124.0202429149795,1.3817014397315697,0.0,68,97,120,130,160,200,300,330,430,430,430
GET,/product/66VCHSJNUP,221,0,62,84.77077675113388,38.92520799990962,632.3889000000236,8087.873303167421,1.23625918291772,0.0,62,86,100,110,140,190,240,300,630,630,630
GET,/product/6E92ZMYYFZ,215,0,71,89.83253978605167,37.17108899991217,307.4992020001446,8074.8883720930235,1.2026955851914471,0.0,71,93,110,120,170,210,250,300,310,310,310
GET,/product/9SIQT8TOJO,233,0,60,82.74935064375798,38.66587699985757,431.8450490000032,8126.742489270387,1.303386378370266,0.0,60,80,96,110,150,200,270,300,430,430,430
GET,/product/L9ECAV7KIM,253,0,79,100.77510517392784,38.16554200011524,694.5693399998163,8088.351778656126,1.4152650374578426,0.0,79,100,120,140,180,240,310,430,690,690,690
GET,/product/LS4PSXUNUM,258,0,59,83.47586045347764,38.97514299978866,595.1968569997916,8093.437984496124,1.4432347022297367,0.0,59,83,96,110,160,190,230,330,600,600,600
GET,/product/OLJCESPC7Z,233,0,72,89.65556541630389,38.08937399981005,421.43078800017975,8124.922746781116,1.303386378370266,0.0,72,93,110,120,160,190,300,300,420,420,420
POST,/setCurrency,349,0,110.0,140.41849881661028,48.62749599988092,1006.204298999819,10735.366762177651,1.9522826010782097,0.0,110,140,150,160,250,340,560,730,1000,1000,1000
,Aggregated,3920,1,85,117.23278637448445,35.45390399995085,1066.4972900003704,10290.394642857143,21.928217181164992,0.0055939329543788245,85,110,130,150,200,290,600,810,940,1100,1100
