Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1736448572,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448573,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448574,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448575,300,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448576,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448577,500,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448578,600,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448579,700,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448580,800,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448581,900,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448582,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448583,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1736448584,1000,,Aggregated,0.000000,0.000000,3800,4900,4900,4900,5000,5000,5000,5000,5000,5000,5000,155,155,3803.9681490000135,4230.520624412904,3803.9681490000135,4989.053996000024,95.0
1736448585,1000,,Aggregated,0.000000,0.000000,7300,9400,11000,11000,12000,13000,13000,13000,13000,13000,13000,1119,1119,7300.0,7195.162632948166,978.8992860000008,12907.900057999996,100.60321715817695
1736448586,1000,,Aggregated,10.000000,10.000000,3800,7300,8400,9600,12000,13000,13000,13000,13000,13000,13000,1657,1657,3800.0,5271.248760201578,1.397727000011173,12907.900057999996,119.51538925769462
1736448587,1000,,Aggregated,106.100000,106.000000,3800,7300,8400,9600,12000,13000,13000,13000,13000,13000,13000,1684,1684,3800.0,5193.362812422811,1.1315419999959886,12907.900057999996,117.90380047505938
1736448588,1000,,Aggregated,158.000000,158.000000,3800,7100,8400,9500,12000,13000,13000,13000,13000,13000,13000,1759,1759,3800.0,4972.017449606034,1.0397559999830719,12907.900057999996,113.68675383740762
1736448589,1000,,Aggregated,167.800000,167.800000,3800,6100,8300,9400,12000,13000,13000,13000,13000,13000,13000,1869,1869,3800.0,4679.50421057893,0.9495150000020658,12907.900057999996,108.1139646869984
1736448590,1000,,Aggregated,175.300000,175.300000,3800,6100,8200,9400,12000,13000,13000,13000,13000,13000,13000,1956,1956,3800.0,4474.013621913612,0.8624140000108582,12907.900057999996,104.15030674846626
1736448591,1000,,Aggregated,186.000000,186.000000,1700,6100,7500,8400,11000,12000,13000,13000,13000,13000,13000,2032,2032,1700.0,4306.746949255427,0.8624140000108582,12907.900057999996,100.96555118110236
1736448592,1000,,Aggregated,195.300000,195.300000,1600,5000,7300,8400,11000,12000,13000,13000,13000,13000,13000,2199,2187,1600.0,4111.141791633939,0.8562570000094638,12907.900057999996,135.9213278763074
1736448593,1000,,Aggregated,202.700000,202.700000,1600,5000,7200,8300,11000,12000,13000,13000,13000,13000,13000,2328,2315,1600.0,3902.3283725021624,0.8562570000094638,12907.900057999996,132.45446735395188
1736448594,1000,,Aggregated,217.900000,217.100000,1600,5000,7200,8400,11000,12000,13000,13000,13000,13000,13000,2500,2468,1600.0,3778.4068112896143,0.8562570000094638,12907.900057999996,183.1168
1736448595,1000,,Aggregated,231.900000,230.600000,1500,4900,7100,8300,11000,12000,13000,13000,13000,13000,13000,2700,2640,1500.0,3621.337722847788,0.8051159999808988,12907.900057999996,253.10962962962964
1736448596,1000,,Aggregated,238.900000,235.900000,1500,3900,7100,8400,11000,12000,13000,13000,13000,13000,13000,2934,2810,1500.0,3561.457214049085,0.8051159999808988,12907.900057999996,404.37286980231767
1736448597,1000,,Aggregated,161.500000,156.400000,1500,3800,7100,8400,11000,12000,13000,13000,13000,13000,13000,3149,2977,1500.0,3496.867257618931,0.8051159999808988,12907.900057999996,503.06732295966975
1736448598,1000,,Aggregated,134.200000,121.800000,1400,3800,7100,8400,11000,12000,13000,13000,13000,13000,13000,3328,3101,1400.0,3520.5520121811924,0.8051159999808988,13438.476139999977,601.2463942307693
1736448599,1000,,Aggregated,134.200000,121.800000,1500,3800,7300,8400,11000,13000,13000,13000,14000,14000,14000,3358,3101,1500.0,3610.1745565381193,0.8051159999808988,14034.94750600001,664.0714711137582
1736448600,1000,,Aggregated,157.400000,134.800000,1500,3800,7300,8500,11000,13000,13000,13000,15000,15000,15000,3368,3101,1500.0,3643.987244540083,0.8051159999808988,15246.236836999999,686.9421021377672
1736448601,1000,,Aggregated,157.400000,134.800000,1500,3900,7300,8700,11000,13000,13000,14000,16000,16000,16000,3375,3101,1500.0,3669.038884533925,0.8051159999808988,16134.25730199998,703.6222222222223
1736448602,1000,,Aggregated,157.400000,134.800000,1500,3900,7300,8700,11000,13000,13000,14000,16000,16000,16000,3375,3101,1500.0,3669.038884533925,0.8051159999808988,16134.25730199998,703.6222222222223
1736448603,1000,,Aggregated,141.100000,114.800000,1500,3900,7300,8800,11000,13000,13000,14000,18000,18000,18000,3379,3101,1500.0,3685.739929775376,0.8051159999808988,17969.032930999987,712.0985498668246
1736448604,1000,,Aggregated,141.100000,114.800000,1500,3900,7300,8800,11000,13000,13000,14000,18000,18000,18000,3379,3101,1500.0,3685.739929775376,0.8051159999808988,17969.032930999987,712.0985498668246
1736448605,1000,,Aggregated,119.600000,93.000000,1500,3900,7300,8900,12000,13000,13000,14000,20000,20000,20000,3384,3101,1500.0,3709.4772852907786,0.8051159999808988,20090.565137000027,722.6903073286052
1736448606,1000,,Aggregated,106.000000,79.500000,1500,3900,7300,8900,12000,13000,13000,14000,20000,21000,21000,3385,3101,1500.0,3714.4378674076797,0.8051159999808988,20501.04775099996,724.805317577548
1736448607,1000,,Aggregated,106.000000,79.500000,1500,3900,7300,8900,12000,13000,13000,14000,20000,21000,21000,3385,3101,1500.0,3714.4378674076797,0.8051159999808988,20501.04775099996,724.805317577548
1736448608,1000,,Aggregated,106.000000,79.500000,1500,3900,7300,8900,12000,13000,13000,14000,20000,21000,21000,3385,3101,1500.0,3714.4378674076797,0.8051159999808988,20501.04775099996,724.805317577548
