Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2339,2328,3000.0,4247.548902146633,0.910486000009314,26234.592145999984,109.82471141513467,13.081216357424282,13.01969716976645,3000,6300,8600,9800,12000,13000,13000,13000,26000,26000,26000
GET,/cart,3974,3911,2,1210.1221100908408,0.9601659999702861,15071.318070000018,142.52541519879216,22.22520470474737,21.8728675390707,2,3,3,4,6800,11000,12000,13000,15000,15000,15000
POST,/cart,3904,3904,2,126.30558641854465,0.829027000008864,11199.505122000006,34.169825819672134,21.833718965106627,21.833718965106627,2,2,2,2,230,760,1100,1300,9500,11000,11000
POST,/cart/checkout,1275,1275,3,12.965315387450916,1.364046000048802,1152.4450320000028,26.24235294117647,7.130633114884977,7.130633114884977,3,3,4,4,9,62,120,180,730,1200,1200
GET,/product/0PUK6V6EV0,1948,1912,2,1304.6343925723825,0.9151140000085434,26054.32878800002,177.31724845995893,10.894488868859556,10.693153345615745,2,3,3,4,6500,11000,12000,13000,26000,26000,26000
GET,/product/1YMWWN1N4O,1945,1925,2,1296.7703487146582,0.8878549999735696,26281.97664999999,112.66838046272494,10.877710908589238,10.765857840120454,2,3,3,4,6700,10000,12000,13000,26000,26000,26000
GET,/product/2ZYFJ3GM2N,1920,1907,2,1402.8262853708345,0.9124300000280527,26288.793432000006,86.48802083333334,10.737894573003258,10.665190078498549,2,3,3,3,7700,11000,12000,13000,26000,26000,26000
GET,/product/66VCHSJNUP,1835,1813,2,1479.1853599226133,0.9518070000353873,26109.811862999977,128.0523160762943,10.262519032010927,10.139480656695264,2,3,3,4,8000,11000,12000,13000,26000,26000,26000
GET,/product/6E92ZMYYFZ,1906,1887,2,1394.0005101857287,0.8985719999827779,26281.60570000003,110.28436516264428,10.659597425075109,10.553337010029765,2,3,3,4,7600,11000,12000,13000,26000,26000,26000
GET,/product/9SIQT8TOJO,1865,1842,2,1322.3660614182322,0.932715000033113,26282.87842000003,129.56836461126005,10.430298634714102,10.301667605975002,2,3,3,4,6300,10000,12000,16000,26000,26000,26000
GET,/product/L9ECAV7KIM,1850,1824,2,1238.0696422513504,0.8277250000219283,26106.835163,140.44054054054055,10.346408833362515,10.200999844353095,2,2,3,3,6400,11000,12000,13000,26000,26000,26000
GET,/product/LS4PSXUNUM,1860,1840,2,1235.7968724236566,0.9010279999870363,26288.759111999978,114.77849462365592,10.402335367596907,10.290482299128122,2,3,3,3,5800,10000,12000,15000,26000,26000,26000
GET,/product/OLJCESPC7Z,1921,1892,2,1253.705271703282,0.8376399999860951,26087.404034000032,150.06871421134827,10.743487226426698,10.58130027714696,2,3,3,3,6800,10000,12000,13000,26000,26000,26000
POST,/setCurrency,2599,2599,2,1132.6704191904557,1.006648000043242,13016.648100999988,32.72181608310889,14.535306247518474,14.535306247518474,2,3,3,4,6100,9500,11000,12000,13000,13000,13000
,Aggregated,31141,30859,2,1309.8299542956133,0.8277250000219283,26288.793432000006,104.49879579974953,174.16082025932005,172.58369199391018,2,3,3,4,6900,10000,12000,13000,26000,26000,26000
