Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1651,1186,25000.0,19332.586208472436,1.1691549998431583,37275.922937000134,5557.6244700181705,9.178678234374212,6.593526581446285,25000,27000,29000,29000,31000,32000,34000,35000,37000,37000,37000
GET,/cart,2069,1404,2100.0,4225.856567636535,1.085400999727426,16684.02602299989,4029.779120347994,11.50253498904921,7.805490152066259,2100,6600,8400,9400,12000,13000,14000,15000,16000,17000,17000
POST,/cart,1987,1609,5,3986.5083601016618,0.934174999656534,21514.143726000155,3804.043281328636,11.04665878358665,8.945180665722658,5,4100,8200,11000,14000,16000,18000,18000,21000,22000,22000
POST,/cart/checkout,661,579,4,1803.6239436172568,1.5180159998635645,16647.06749699985,1435.3464447806355,3.67480697330185,3.2189307678392907,4,200,2000,2900,8400,10000,12000,13000,17000,17000,17000
GET,/product/0PUK6V6EV0,965,681,1500.0,4243.931526221762,1.2003900001218426,19431.55105599999,3057.883937823834,5.364884613065485,3.785996291707352,1500,5900,8200,9400,12000,14000,16000,17000,19000,19000,19000
GET,/product/1YMWWN1N4O,997,695,1700.0,4398.818471154461,1.0526549999667623,20535.46712100001,3086.069207622869,5.5427875225142875,3.8638288145912036,1700,6400,8400,9600,13000,14000,16000,17000,21000,21000,21000
GET,/product/2ZYFJ3GM2N,1001,691,1900.0,4528.081956993012,1.1397819998819614,18775.28038699984,3138.255744255744,5.565025386195388,3.841590950910103,1900,6700,8500,9600,13000,14000,16000,17000,18000,19000,19000
GET,/product/66VCHSJNUP,1004,706,2400.0,4565.750982366535,1.0943610000140325,19311.97897999982,3133.3426294820715,5.581703783956214,3.92498293971423,2400,6500,8400,9700,13000,15000,17000,18000,19000,19000,19000
GET,/product/6E92ZMYYFZ,1024,714,920.0,4292.947627624019,1.124345999869547,19214.147390999868,3054.9423828125,5.692893102361716,3.969458667076431,990,6200,8100,9400,13000,14000,17000,17000,19000,19000,19000
GET,/product/9SIQT8TOJO,962,686,1100.0,4313.748576133056,1.1966699998993136,18737.443668999957,2989.4594594594596,5.348206215304659,3.8137936213087276,1100,6000,8300,9700,13000,15000,17000,18000,19000,19000,19000
GET,/product/L9ECAV7KIM,961,668,2300.0,4483.873490340272,1.0065319997920597,19305.29976399998,3082.499479708637,5.342646749384384,3.713723234743776,2300,6500,8200,9500,13000,15000,16000,17000,19000,19000,19000
GET,/product/LS4PSXUNUM,1018,697,2400.0,4573.624795335947,1.2227650004206225,19494.81174500011,3227.6768172888014,5.6595363068400655,3.874947746431754,2400,6600,8400,9700,13000,15000,17000,18000,19000,19000,19000
GET,/product/OLJCESPC7Z,1027,718,2400.0,4629.542348017536,1.0701910000534554,19278.537482000047,3130.344693281402,5.709571500122541,3.9916965307575314,2400,6800,8500,9800,13000,15000,16000,17000,18000,19000,19000
POST,/setCurrency,1261,970,4,6519.9695738437795,1.1830250000457454,32747.3388049998,3129.9928628072958,7.010486525466918,5.39268194266686,4,7200,12000,15000,21000,25000,28000,30000,31000,33000,33000
,Aggregated,16588,12004,2100.0,5899.409402067693,0.934174999656534,37275.922937000134,3481.405292982879,92.22042068552358,66.73582890698246,2100,7200,9700,11000,16000,26000,29000,31000,35000,37000,37000
